sheetFamilyIndex,baseImageId,state0,state1,state2,width,height,bitmapCategory,evidenceType,source,buildingId,category,slot,screenRect
0,1491,1491,1492,1493,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
1,1494,1494,1495,1496,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
2,1497,1497,1498,1499,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
3,1500,1500,1501,1502,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
4,1503,1503,1504,1505,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
5,1506,1506,1507,1508,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
6,1509,1509,1510,1511,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
7,1512,1512,1513,1514,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
8,1515,1515,1516,1517,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
9,1518,1518,1519,1520,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
10,1521,1521,1522,1523,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
11,1524,1524,1525,1526,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
12,1527,1527,1528,1529,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
13,1530,1530,1531,1532,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
14,1536,1536,1537,1538,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
15,1539,1539,1540,1541,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
16,1542,1542,1543,1544,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
17,1545,1545,1546,1547,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
18,1548,1548,1549,1550,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
19,1551,1551,1552,1553,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
20,1554,1554,1555,1556,54,53,China_Interface_New_Bbuttons.BMP,confirmed,INDEX.csv / China_Interface_New_Bbuttons,,,,
