section,category,slot,buildingId,buildingName,nativeTool,imageId,frame,sharedFamily,screenRect,evidenceType,confidence,source,contradictions
native-inferred,住宅,0,2,住宅,house,1491,0,,"{""x"": 858, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 0, ""row"": 0, ""slot"": 0}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,住宅,1,11,贵族住宅,eliteHouse,1494,0,,"{""x"": 912, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 0, ""slot"": 1}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,农业,12,31,捕鱼码头,fishingWharf,1512,0,,"{""x"": 858, ""y"": 533, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 0, ""row"": 4, ""slot"": 12}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,农业,13,33,猎场,huntingCamp,1506,0,,"{""x"": 912, ""y"": 533, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 4, ""slot"": 13}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,工业,0,35,粘土坑,clayPit,1515,0,,"{""x"": 858, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 0, ""row"": 0, ""slot"": 0}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,工业,3,36,石料场,quarry,1518,0,,"{""x"": 858, ""y"": 374, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 0, ""row"": 1, ""slot"": 3}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,工业,1,43,窑炉,kiln,1521,0,,"{""x"": 912, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 0, ""slot"": 1}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,工业,5,39,青铜熔炉,bronzeWorks,1524,0,furnace_smelter,"{""x"": 966, ""y"": 374, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 2, ""row"": 1, ""slot"": 5}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,工业,4,40,炼铁炉,ironMine,1524,0,furnace_smelter,"{""x"": 912, ""y"": 374, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 1, ""slot"": 4}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,工业,2,38,伐木棚,lumberMill,1527,0,,"{""x"": 966, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 2, ""row"": 0, ""slot"": 2}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,商业,0,54,仓库,warehouse,1528,0,,"{""x"": 858, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 0, ""row"": 0, ""slot"": 0}}",inferred,low,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,alias_excluded_from_classic_grid; catalog_base_vs_index_family_start
native-inferred,商业,3,66,食物铺,foodShop,1531,0,,"{""x"": 858, ""y"": 374, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 0, ""row"": 1, ""slot"": 3}}",inferred,low,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,catalog_base_vs_index_family_start
native-inferred,商业,1,59,市场,market,1546,0,market_pavilion,"{""x"": 912, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 0, ""slot"": 1}}",inferred,low,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,catalog_base_vs_index_family_start
native-inferred,商业,2,60,大市场,grandMarket,1546,0,market_pavilion,"{""x"": 966, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 2, ""row"": 0, ""slot"": 2}}",inferred,low,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,catalog_base_vs_index_family_start
native-inferred,安全,0,72,水井,well,1551,0,,"{""x"": 858, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 0, ""row"": 0, ""slot"": 0}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,安全,1,207,药草铺,herbalist,1554,0,,"{""x"": 912, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 1, ""row"": 0, ""slot"": 1}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
native-inferred,安全,2,208,针灸所,acupuncture,1557,0,,"{""x"": 966, ""y"": 321, ""w"": 54, ""h"": 53, ""coordSpace"": ""classicCanvas_1024x768_unscrolled"", ""grid"": {""col"": 2, ""row"": 0, ""slot"": 2}}",inferred,medium,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (inferredFromSheet); Sources/EmperorNative/ConstructionToolbar.swift NativeConstructionTool; Sources/EmperorNative/ContentView.swift ClassicControlPanel constructionCatalog,
